Trial,Id,ElapsedTime
37,Joystick,5122724.934016
37,Go,5122727.100032
37,Joystick,5122727.183008
37,Response,5122727.183008
37,Miss,5122729.192032
38,ITI,5122729.195008
38,Joystick,5122748.426016
38,NoGo,5122750.974016
38,Response,5122751.081024
38,Joystick,5122751.088032
38,CorrectRejection,5122753.082016
39,ITI,5122753.084032
39,Joystick,5122768.256032
39,Joystick,5122769.033024
39,Joystick,5122769.194016
39,Joystick,5122774.279008
39,Go,5122776.435008
39,Joystick,5122776.526016
39,Response,5122776.526016
39,Miss,5122778.534016
40,ITI,5122778.538016
40,Go,5122783.330016
40,Response,5122783.439008
40,Joystick,5122783.450016
40,Hit,5122783.450016
41,ITI,5122783.450016
41,Go,5122838.875008
41,Joystick,5122838.953024
41,Response,5122838.953024
41,Miss,5122840.954016
42,ITI,5122840.958016
42,Joystick,5122841.041024
42,Joystick,5122841.092032
42,Joystick,5122842.206016
42,Joystick,5122844.052032
42,NoGo,5122846.260032
42,Response,5122846.377024
42,Joystick,5122846.426016
42,CorrectRejection,5122848.389024
43,ITI,5122848.392032
43,NoGo,5122856.787008
43,Response,5122856.904032
43,Joystick,5122856.942016
43,CorrectRejection,5122858.905024
44,ITI,5122858.908032
44,Go,5122923.509024
44,Joystick,5122923.585024
44,Response,5122923.585024
44,Joystick,5122925.325024
44,Hit,5122925.325024
45,ITI,5122925.325024
45,Joystick,5122925.502016
45,Joystick,5122930.258016
45,Joystick,5122930.293024
45,Joystick,5122943.019008
45,Joystick,5122943.582016
45,Joystick,5122944.247008
45,Joystick,5122944.709024
45,Go,5122947.180032
45,Joystick,5122947.323008
45,Response,5122947.323008
45,Miss,5122949.331008
46,ITI,5122949.331008
46,Go,5123006.318016
46,Response,5123006.426016
46,Joystick,5123006.476032
46,Hit,5123006.476032
47,ITI,5123006.476032
47,Joystick,5123008.769024
47,NoGo,5123030.004032
47,Joystick,5123030.095008
47,Joystick,5123030.145024
48,ITI,5123036.100032
48,Go,5123040.201024
48,Response,5123040.316032
48,Joystick,5123040.373024
48,Hit,5123040.373024
49,ITI,5123040.373024
49,Joystick,5123041.510016
49,Joystick,5123041.661024
49,Joystick,5123041.949024
49,Joystick,5123041.976032
49,Joystick,5123042.055008
49,Joystick,5123042.185024
